ファイル名,領域名,単元名,項目名,レベル,含まれる生成例の問題数
m-jh1-A-01-01b.txt,数と式,正と負の数,正と負,基礎,8
m-jh1-A-01-01s.txt,数と式,正と負の数,正と負,標準,3
m-jh1-A-01-02b.txt,数と式,正と負の数,正の数と負の数を量で表す,基礎,3
m-jh1-A-01-03b.txt,数と式,正と負の数,数の大小と不等号,基礎,3
m-jh1-A-01-04b.txt,数と式,正と負の数,絶対値,基礎,6
m-jh1-A-01-05b.txt,数と式,加法と減法,正と負の数の加法,基礎,8
m-jh1-A-01-05s.txt,数と式,加法と減法,正と負の数の加法,標準,3
m-jh1-A-01-06b.txt,数と式,加法と減法,加法の交換法則・結合法則,基礎,4
m-jh1-A-01-06s.txt,数と式,加法と減法,加法の交換法則・結合法則,標準,3
m-jh1-A-01-07b.txt,数と式,加法と減法,正と負の数の減法,基礎,4
m-jh1-A-01-07s.txt,数と式,加法と減法,正と負の数の減法,標準,3
m-jh1-A-01-08b.txt,数と式,加法と減法,加法と減法の混合,基礎,8
m-jh1-A-01-08s.txt,数と式,加法と減法,加法と減法の混合,標準,3
m-jh1-A-01-09b.txt,数と式,乗法と除法,正と負の数の乗法,基礎,7
m-jh1-A-01-09s.txt,数と式,乗法と除法,正と負の数の乗法,標準,3
m-jh1-A-01-10b.txt,数と式,乗法と除法,乗法の交換法則・結合法則,基礎,6
m-jh1-A-01-10s.txt,数と式,乗法と除法,乗法の交換法則・結合法則,標準,3
m-jh1-A-01-11b.txt,数と式,乗法と除法,累乗,基礎,6
m-jh1-A-01-11s.txt,数と式,乗法と除法,累乗,標準,3
m-jh1-A-01-12b.txt,数と式,乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法,基礎,4
m-jh1-A-01-12s.txt,数と式,乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法,標準,3
m-jh1-A-01-13b.txt,数と式,乗法と除法,逆数,基礎,3
m-jh1-A-01-13s.txt,数と式,乗法と除法,逆数,標準,3
m-jh1-A-01-14b.txt,数と式,乗法と除法,逆数を使った除法,基礎,2
m-jh1-A-01-14s.txt,数と式,乗法と除法,逆数を使った除法,標準,2
m-jh1-A-01-15b.txt,数と式,いろいろな計算,四則混合計算,基礎,4
m-jh1-A-01-15s.txt,数と式,いろいろな計算,四則混合計算,標準,4
m-jh1-A-01-16b.txt,数と式,いろいろな計算,累乗が含まれる計算,基礎,4
m-jh1-A-01-16s.txt,数と式,いろいろな計算,累乗が含まれる計算,標準,5
m-jh1-A-01-17b.txt,数と式,いろいろな計算,分配法則を利用した計算,基礎,4
m-jh1-A-01-17s.txt,数と式,いろいろな計算,分配法則を利用した計算,標準,6
m-jh1-A-01-18b.txt,数と式,いろいろな計算,数の集合（数＞整数＞自然数）,基礎,8
m-jh1-A-01-19b.txt,数と式,いろいろな計算,正の数・負の数の利用（表問題）,基礎,3
m-jh1-A-01-19s.txt,数と式,いろいろな計算,正の数・負の数の利用（表問題）,標準,3
m-jh1-A-01-20b.txt,数と式,いろいろな計算,素数と素因数分解,基礎,5
m-jh1-A-01-20s.txt,数と式,いろいろな計算,素数と素因数分解,標準,3
m-jh1-A-01-21b.txt,数と式,いろいろな計算,素因数分解の利用,基礎,3
m-jh1-A-01-21s.txt,数と式,いろいろな計算,素因数分解の利用,標準,3
m-jh1-A-02-01b.txt,数と式,文字と式,文字を使った式,基礎,6
m-jh1-A-02-01s.txt,数と式,文字と式,文字を使った式,標準,3
m-jh1-A-02-02b.txt,数と式,文字と式,文字式の表し方,基礎,13
m-jh1-A-02-02s.txt,数と式,文字と式,文字式の表し方,標準,3
m-jh1-A-02-03b.txt,数と式,文字と式,いろいろな数量と文字式,基礎,5
m-jh1-A-02-03s.txt,数と式,文字と式,いろいろな数量と文字式,標準,12
m-jh1-A-02-04b.txt,数と式,文字と式,式の値（代入）,基礎,13
m-jh1-A-02-04s.txt,数と式,文字と式,式の値（代入）,標準,2
m-jh1-A-02-05b.txt,数と式,文字と式,項と係数の関係,基礎,5
m-jh1-A-02-05s.txt,数と式,文字と式,項と係数の関係,標準,2
m-jh1-A-02-06b.txt,数と式,文字と式,文字式の加法と減法,基礎,7
m-jh1-A-02-06s.txt,数と式,文字と式,文字式の加法と減法,標準,2
m-jh1-A-02-07b.txt,数と式,文字と式,1次式の乗法（項が1つ・項が複数・分数）,基礎,6
m-jh1-A-02-07s.txt,数と式,文字と式,1次式の乗法（項が1つ・項が複数・分数）,標準,2
m-jh1-A-02-08b.txt,数と式,文字と式,1次式の除法（項が1つ・項が複数）,基礎,4
m-jh1-A-02-08s.txt,数と式,文字と式,1次式の除法（項が1つ・項が複数）,標準,2
m-jh1-A-02-09b.txt,数と式,文字と式,1次式の計算（分配法則）,基礎,4
m-jh1-A-02-09s.txt,数と式,文字と式,1次式の計算（分配法則）,標準,4
m-jh1-A-02-10b.txt,数と式,文字と式,文字式の利用（等式）,基礎,4
m-jh1-A-02-10s.txt,数と式,文字と式,文字式の利用（等式）,標準,4
m-jh1-A-02-11b.txt,数と式,文字と式,文字式の利用（不等式）,基礎,4
m-jh1-A-02-11s.txt,数と式,文字と式,文字式の利用（不等式）,標準,4
m-jh1-A-03-01b.txt,数と式,１次方程式,方程式とその解（代入）①,基礎,2
m-jh1-A-03-02b.txt,数と式,１次方程式,方程式とその解（代入）②,基礎,2
m-jh1-A-03-03b.txt,数と式,１次方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）,基礎,8
m-jh1-A-03-03s.txt,数と式,１次方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）,標準,2
m-jh1-A-03-04b.txt,数と式,１次方程式,移項を利用した１次方程式の解き方,基礎,4
m-jh1-A-03-04s.txt,数と式,１次方程式,移項を利用した１次方程式の解き方,標準,2
m-jh1-A-03-05b.txt,数と式,１次方程式,かっこのある方程式の解き方,基礎,2
m-jh1-A-03-05s.txt,数と式,１次方程式,かっこのある方程式の解き方,標準,2
m-jh1-A-03-06b.txt,数と式,１次方程式,小数が含まれる方程式の解き方,基礎,2
m-jh1-A-03-06s.txt,数と式,１次方程式,小数が含まれる方程式の解き方,標準,2
m-jh1-A-03-07b.txt,数と式,１次方程式,分数が含まれる方程式の解き方,基礎,2
m-jh1-A-03-07s.txt,数と式,１次方程式,分数が含まれる方程式の解き方,標準,2
m-jh1-A-03-08b.txt,数と式,１次方程式,比例式,基礎,2
m-jh1-A-03-08s.txt,数と式,１次方程式,比例式,標準,2
m-jh1-A-03-09b.txt,数と式,１次方程式,方程式の解と定数,基礎,2
m-jh1-A-03-09s.txt,数と式,１次方程式,方程式の解と定数,標準,1
m-jh1-A-03-10b.txt,数と式,１次方程式,代金の問題,基礎,2
m-jh1-A-03-10s.txt,数と式,１次方程式,代金の問題,標準,2
m-jh1-A-03-11b.txt,数と式,１次方程式,過不足の問題,基礎,2
m-jh1-A-03-11s.txt,数と式,１次方程式,過不足の問題,標準,2
m-jh1-A-03-12b.txt,数と式,１次方程式,速さに関する問題,基礎,2
m-jh1-A-03-12s.txt,数と式,１次方程式,速さに関する問題,標準,2
m-jh1-A-03-13b.txt,数と式,１次方程式,割合問題,基礎,3
m-jh1-A-03-13s.txt,数と式,１次方程式,割合問題,標準,3
m-jh2-A-01-01b.txt,数と式,多項式の計算,多項式と項,基礎,2
m-jh2-A-01-02b.txt,数と式,多項式の計算,項の次数,基礎,2
m-jh2-A-01-03b.txt,数と式,多項式の計算,式の次数,基礎,2
m-jh2-A-01-04b.txt,数と式,多項式の計算,同類項,基礎,3
m-jh2-A-01-04s.txt,数と式,多項式の計算,同類項,標準,2
m-jh2-A-01-05b.txt,数と式,多項式の計算,多項式の加法と減法,基礎,2
m-jh2-A-01-05s.txt,数と式,多項式の計算,多項式の加法と減法,標準,2
m-jh2-A-01-06b.txt,数と式,多項式の計算,数と多項式の乗法,基礎,2
m-jh2-A-01-06s.txt,数と式,多項式の計算,数と多項式の乗法,標準,2
m-jh2-A-01-07b.txt,数と式,多項式の計算,多項式と数の除法,基礎,2
m-jh2-A-01-07s.txt,数と式,多項式の計算,多項式と数の除法,標準,2
m-jh2-A-01-08b.txt,数と式,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,基礎,2
m-jh2-A-01-08s.txt,数と式,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,標準,2
m-jh2-A-01-09b.txt,数と式,多項式の計算,分配法則を利用する加法と減法（分数を含む）,基礎,2
m-jh2-A-01-09s.txt,数と式,多項式の計算,分配法則を利用する加法と減法（分数を含む）,標準,2
m-jh2-A-01-10b.txt,数と式,多項式の計算,単項式の乗法,基礎,3
m-jh2-A-01-10s.txt,数と式,多項式の計算,単項式の乗法,標準,2
m-jh2-A-01-11b.txt,数と式,多項式の計算,単項式の除法,基礎,2
m-jh2-A-01-11s.txt,数と式,多項式の計算,単項式の除法,標準,2
m-jh2-A-01-12b.txt,数と式,多項式の計算,単項式の乗法・除法混合,基礎,2
m-jh2-A-01-12s.txt,数と式,多項式の計算,単項式の乗法・除法混合,標準,2
m-jh2-A-01-13b.txt,数と式,多項式の計算,式の値,基礎,2
m-jh2-A-01-13s.txt,数と式,多項式の計算,式の値,標準,2
m-jh2-A-02-01b.txt,数と式,文字式の利用,整数に関するいろいろな性質,基礎,2
m-jh2-A-02-01s.txt,数と式,文字式の利用,整数に関するいろいろな性質,標準,2
m-jh2-A-02-02b.txt,数と式,文字式の利用,図形と文字式,基礎,2
m-jh2-A-02-02s.txt,数と式,文字式の利用,図形と文字式,標準,2
m-jh2-A-02-03b.txt,数と式,文字式の利用,等式の変形,基礎,3
m-jh2-A-02-03s.txt,数と式,文字式の利用,等式の変形,標準,2
m-jh2-A-03-01b.txt,数と式,連立方程式,連立方程式とその解,基礎,4
m-jh2-A-03-01s.txt,数と式,連立方程式,連立方程式とその解,標準,2
m-jh2-A-03-02b.txt,数と式,連立方程式,加減法①2つの式をそのまま加減する,基礎,2
m-jh2-A-03-02s.txt,数と式,連立方程式,加減法①2つの式をそのまま加減する,標準,2
m-jh2-A-03-03b.txt,数と式,連立方程式,加減法②1つの式の両辺を何倍かして加減する,基礎,2
m-jh2-A-03-03s.txt,数と式,連立方程式,加減法②1つの式の両辺を何倍かして加減する,標準,2
m-jh2-A-03-04b.txt,数と式,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,基礎,2
m-jh2-A-03-04s.txt,数と式,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,標準,2
m-jh2-A-03-05b.txt,数と式,連立方程式,代入法　1つの式から、x= 〜もしくは、y=〜という形を作り、もう一方の式に代入して解く,基礎,2
m-jh2-A-03-05s.txt,数と式,連立方程式,代入法　1つの式から、x= 〜もしくは、y=〜という形を作り、もう一方の式に代入して解く,標準,3
m-jh2-A-03-06b.txt,数と式,連立方程式,加減法か代入法を選んで解く,基礎,2
m-jh2-A-03-06s.txt,数と式,連立方程式,加減法か代入法を選んで解く,標準,2
m-jh2-A-03-07b.txt,数と式,連立方程式,かっこのある連立方程式,基礎,2
m-jh2-A-03-07s.txt,数と式,連立方程式,かっこのある連立方程式,標準,2
m-jh2-A-03-08b.txt,数と式,連立方程式,係数に分数を含む連立方程式,基礎,2
m-jh2-A-03-08s.txt,数と式,連立方程式,係数に分数を含む連立方程式,標準,2
m-jh2-A-03-09b.txt,数と式,連立方程式,係数に小数を含む連立方程式,基礎,2
m-jh2-A-03-09s.txt,数と式,連立方程式,係数に小数を含む連立方程式,標準,2
m-jh2-A-03-10b.txt,数と式,連立方程式,A＝B=Cの形をした連立方程式,基礎,2
m-jh2-A-03-10s.txt,数と式,連立方程式,A＝B=Cの形をした連立方程式,標準,2
m-jh2-A-03-11b.txt,数と式,連立方程式,連立方程式の文章題（数、量、代金の問題）,基礎,1
m-jh2-A-03-11s.txt,数と式,連立方程式,連立方程式の文章題（数、量、代金の問題）,標準,1
